Prog s-T1 s-T2 a-T1 a-T2 s-m1 a-m1 s-m2 a-m2 s-m3 a-m3 s-m4 a-m4 s-m5 a-m5 s-m6 a-m6
787 4 4 1 1 8 2 8 2 8 2 6 2 8 2 8 2 
788 6 4 1 1 8 2 8 2 8 2 6 2 8 2 8 2 
789 6 4 1 1 8 2 8 2 8 2 8 1 8 2 8 2 
790 6 4 1 1 8 2 8 2 8 2 8 1 8 2 8 2 
791 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
792 6 4 1 1 8 2 8 2 8 2 6 2 8 2 8 2 
793 6 4 1 1 8 2 8 2 8 2 8 1 8 2 8 2 
794 6 4 1 1 8 2 8 2 8 2 8 1 8 2 8 2 
795 7 4 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
796 7 4 1 1 9 2 9 2 9 2 7 2 9 2 9 2 
797 7 4 1 1 9 2 9 2 9 2 9 1 9 2 9 2 
798 7 4 1 1 9 2 9 2 9 2 9 1 9 2 9 2 
799 8 4 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
800 3 4 2 1 7 3 7 3 4 3 4 3 4 3 7 3 
801 3 4 2 1 7 3 7 3 5 3 5 2 5 3 7 3 
802 3 4 2 1 7 3 7 3 5 3 5 2 5 3 7 3 
803 4 4 1 1 7 2 7 2 6 2 6 2 6 2 7 2 
804 3 4 2 1 7 3 7 3 5 2 5 2 5 2 7 3 
805 4 4 1 1 8 2 8 2 6 2 6 1 6 2 8 2 
806 4 4 1 1 8 2 8 2 6 2 6 1 6 2 8 2 
807 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
808 3 4 2 1 7 3 7 3 5 2 5 2 5 2 7 3 
809 4 4 1 1 8 2 8 2 6 2 6 1 6 2 8 2 
810 4 4 1 1 8 2 8 2 6 2 6 1 6 2 8 2 
811 5 4 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
812 4 4 1 1 8 2 8 2 6 2 6 2 6 2 8 2 
813 5 4 1 1 9 2 9 2 7 2 7 1 7 2 9 2 
814 5 4 1 1 9 2 9 2 7 2 7 1 7 2 9 2 
815 6 4 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
816 3 4 2 1 7 3 7 3 7 3 4 3 7 3 7 3 
817 3 4 2 1 7 3 7 3 7 3 5 2 7 3 7 3 
818 3 4 2 1 7 3 7 3 7 3 5 2 7 3 7 3 
819 4 4 1 1 8 2 8 2 8 2 6 2 8 2 8 2 
820 6 4 1 1 10 2 10 2 8 2 6 2 8 2 10 2 
821 6 4 1 1 10 2 10 2 8 2 8 1 8 2 10 2 
822 6 4 1 1 10 2 10 2 8 2 8 1 8 2 10 2 
823 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
824 6 4 1 1 10 2 10 2 8 2 6 2 8 2 10 2 
825 6 4 1 1 10 2 10 2 8 2 8 1 8 2 10 2 
826 6 4 1 1 10 2 10 2 8 2 8 1 8 2 10 2 
827 7 4 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
828 7 4 1 1 11 2 11 2 9 2 7 2 9 2 11 2 
829 7 4 1 1 11 2 11 2 9 2 9 1 9 2 11 2 
830 7 4 1 1 11 2 11 2 9 2 9 1 9 2 11 2 
831 8 4 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
832 3 5 2 1 5 3 5 3 5 3 5 3 5 3 5 3 
833 3 5 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
834 3 5 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
835 4 5 1 1 7 1 7 1 7 1 7 2 7 2 7 2 
836 3 5 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
837 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
838 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
839 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
840 3 5 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
841 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
842 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
843 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
844 4 5 1 1 7 1 7 2 7 2 7 2 7 2 7 2 
845 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
846 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
847 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
848 3 5 2 1 8 2 8 2 8 2 5 3 7 3 7 3 
849 3 5 2 1 8 2 8 2 8 2 6 2 8 2 8 2 
850 3 5 2 1 8 2 8 2 8 2 6 2 8 2 8 2 
851 4 5 1 1 9 1 9 1 9 1 7 2 9 2 9 2 
852 6 5 1 1 9 1 9 1 9 1 6 2 8 2 8 2 
853 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
854 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
855 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
856 6 5 1 1 9 1 9 1 9 1 6 2 8 2 8 2 
857 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
858 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
859 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
860 7 5 1 1 10 1 10 1 10 1 7 2 9 2 9 2 
861 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
862 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
863 8 5 1 1 11 1 11 1 11 1 11 1 11 1 11 1 
864 3 5 2 1 8 2 7 3 5 3 5 3 5 3 7 3 
865 3 5 2 1 8 2 7 2 6 2 6 2 6 2 7 2 
866 3 5 2 1 8 2 7 2 6 2 6 2 6 2 7 2 
867 4 5 1 1 8 1 7 1 7 1 7 2 7 2 7 2 
868 3 5 2 1 8 2 8 2 6 2 6 2 6 2 8 2 
869 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
870 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
871 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
872 3 5 2 1 8 2 8 2 6 2 6 2 6 2 8 2 
873 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
874 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
875 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
876 4 5 1 1 9 1 9 2 7 2 7 2 7 2 9 2 
877 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
878 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
879 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
880 3 5 2 1 8 2 8 2 8 2 5 3 7 3 7 3 
881 3 5 2 1 8 2 8 2 8 2 6 2 8 2 8 2 
882 3 5 2 1 8 2 8 2 8 2 6 2 8 2 8 2 
883 4 5 1 1 9 1 9 1 9 1 7 2 9 2 9 2 
884 6 5 1 1 11 1 11 1 9 1 6 2 8 2 10 2 
885 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
886 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
887 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
888 6 5 1 1 11 1 11 1 9 1 6 2 8 2 10 2 
889 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
890 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
891 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
892 7 5 1 1 12 1 12 1 10 1 7 2 9 2 11 2 
893 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
894 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
895 8 5 1 1 13 1 13 1 11 1 11 1 11 1 13 1 
896 3 5 2 1 5 3 5 3 5 3 5 3 5 3 5 3 
897 3 5 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
898 3 5 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
899 4 5 1 1 7 1 7 1 7 1 7 2 7 2 7 2 
900 3 5 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
901 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
902 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
903 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
904 3 5 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
905 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
906 4 5 1 1 7 1 7 1 7 1 7 1 7 1 7 1 
907 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
908 4 5 1 1 7 1 7 2 7 2 7 2 7 2 7 2 
909 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
910 5 5 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
911 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
912 3 5 2 1 8 2 8 2 8 2 5 3 7 3 7 3 
913 3 5 2 1 8 2 8 2 8 2 6 2 8 2 8 2 
914 3 5 2 1 8 2 8 2 8 2 6 2 8 2 8 2 
915 4 5 1 1 9 1 9 1 9 1 7 2 9 2 9 2 
916 6 5 1 1 9 1 9 1 9 1 6 2 8 2 8 2 
917 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
918 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
919 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
920 6 5 1 1 9 1 9 1 9 1 6 2 8 2 8 2 
921 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
922 6 5 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
923 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
924 7 5 1 1 10 1 10 1 10 1 7 2 9 2 9 2 
925 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
926 7 5 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
927 8 5 1 1 11 1 11 1 11 1 11 1 11 1 11 1 
928 3 5 2 1 8 2 7 3 5 3 5 3 5 3 7 3 
929 3 5 2 1 8 2 7 2 6 2 6 2 6 2 7 2 
930 3 5 2 1 8 2 7 2 6 2 6 2 6 2 7 2 
931 4 5 1 1 8 1 7 1 7 1 7 2 7 2 7 2 
932 3 5 2 1 8 2 8 2 6 2 6 2 6 2 8 2 
933 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
934 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
935 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
936 3 5 2 1 8 2 8 2 6 2 6 2 6 2 8 2 
937 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
938 4 5 1 1 9 1 9 1 7 1 7 1 7 1 9 1 
939 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
940 4 5 1 1 9 1 9 2 7 2 7 2 7 2 9 2 
941 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
942 5 5 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
943 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
944 3 5 2 1 8 2 8 2 8 2 5 3 7 3 7 3 
945 3 5 2 1 8 2 8 2 8 2 6 2 8 2 8 2 
946 3 5 2 1 8 2 8 2 8 2 6 2 8 2 8 2 
947 4 5 1 1 9 1 9 1 9 1 7 2 9 2 9 2 
948 6 5 1 1 11 1 11 1 9 1 6 2 8 2 10 2 
949 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
950 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
951 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
952 6 5 1 1 11 1 11 1 9 1 6 2 8 2 10 2 
953 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
954 6 5 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
955 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
956 7 5 1 1 12 1 12 1 10 1 7 2 9 2 11 2 
957 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
958 7 5 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
959 8 5 1 1 13 1 13 1 11 1 11 1 11 1 13 1 
960 3 6 2 1 6 2 6 2 6 2 6 2 6 2 6 2 
961 3 6 2 1 7 2 7 2 7 2 7 1 7 1 7 1 
962 3 6 2 1 7 2 7 2 7 2 7 1 7 1 7 1 
963 4 6 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
964 3 6 2 1 7 2 7 1 7 1 7 1 7 1 7 1 
965 4 6 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
966 4 6 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
967 5 6 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
968 3 6 2 1 7 2 7 1 7 1 7 1 7 1 7 1 
969 4 6 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
970 4 6 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
971 5 6 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
972 4 6 1 1 8 1 8 1 8 1 8 1 8 1 8 1 
973 5 6 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
974 5 6 1 1 9 1 9 1 9 1 9 1 9 1 9 1 
975 6 6 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
976 3 6 2 1 9 2 9 2 9 2 6 2 7 2 7 2 
977 3 6 2 1 9 2 9 2 9 2 7 1 9 1 9 1 
978 3 6 2 1 9 2 9 2 9 2 7 1 9 1 9 1 
979 4 6 1 1 10 1 10 1 10 1 8 1 10 1 10 1 
980 6 6 1 1 10 1 10 1 10 1 7 1 8 1 8 1 
981 6 6 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
982 6 6 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
983 7 6 1 1 11 1 11 1 11 1 11 1 11 1 11 1 
984 6 6 1 1 10 1 10 1 10 1 7 1 8 1 8 1 
985 6 6 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
986 6 6 1 1 10 1 10 1 10 1 10 1 10 1 10 1 
987 7 6 1 1 11 1 11 1 11 1 11 1 11 1 11 1 
988 7 6 1 1 11 1 11 1 11 1 8 1 9 1 9 1 
989 7 6 1 1 11 1 11 1 11 1 11 1 11 1 11 1 
990 7 6 1 1 11 1 11 1 11 1 11 1 11 1 11 1 
991 8 6 1 1 12 1 12 1 12 1 12 1 12 1 12 1 
992 3 6 2 1 9 2 7 2 6 2 6 2 6 2 7 2 
993 3 6 2 1 9 2 7 2 7 2 7 1 7 1 7 1 
994 3 6 2 1 9 2 7 2 7 2 7 1 7 1 7 1 
995 4 6 1 1 9 1 8 1 8 1 8 1 8 1 8 1 
996 3 6 2 1 9 2 9 1 7 1 7 1 7 1 9 1 
997 4 6 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
998 4 6 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
999 5 6 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
1000 3 6 2 1 9 2 9 1 7 1 7 1 7 1 9 1 
1001 4 6 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
1002 4 6 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
1003 5 6 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
1004 4 6 1 1 10 1 10 1 8 1 8 1 8 1 10 1 
1005 5 6 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
1006 5 6 1 1 11 1 11 1 9 1 9 1 9 1 11 1 
1007 6 6 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
1008 3 6 2 1 9 2 9 2 9 2 6 2 7 2 7 2 
1009 3 6 2 1 9 2 9 2 9 2 7 1 9 1 9 1 
1010 3 6 2 1 9 2 9 2 9 2 7 1 9 1 9 1 
1011 4 6 1 1 10 1 10 1 10 1 8 1 10 1 10 1 
1012 6 6 1 1 12 1 12 1 10 1 7 1 8 1 10 1 
1013 6 6 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
1014 6 6 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
1015 7 6 1 1 13 1 13 1 11 1 11 1 11 1 13 1 
1016 6 6 1 1 12 1 12 1 10 1 7 1 8 1 10 1 
1017 6 6 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
1018 6 6 1 1 12 1 12 1 10 1 10 1 10 1 12 1 
1019 7 6 1 1 13 1 13 1 11 1 11 1 11 1 13 1 
1020 7 6 1 1 13 1 13 1 11 1 8 1 9 1 11 1 
1021 7 6 1 1 13 1 13 1 11 1 11 1 11 1 13 1 
1022 7 6 1 1 13 1 13 1 11 1 11 1 11 1 13 1 
1023 8 6 1 1 14 1 14 1 12 1 12 1 12 1 14 1 
1024 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
1025 3 3 2 2 3 4 3 4 3 4 6 3 6 3 6 3 
1026 3 3 2 2 3 4 3 4 3 4 6 3 6 3 6 3 
1027 4 3 1 2 4 3 4 3 4 3 7 3 7 3 7 3 
1028 3 3 2 2 3 4 6 3 6 3 6 3 6 3 6 3 
1029 4 3 1 2 4 3 6 3 6 3 7 2 7 2 7 2 
1030 4 3 1 2 4 3 6 3 6 3 7 2 7 2 7 2 
1031 5 3 1 2 5 2 6 2 6 2 8 2 8 2 8 2 
1032 3 3 2 2 3 4 6 3 6 3 6 3 6 3 6 3 
1033 4 3 1 2 4 3 6 3 6 3 7 2 7 2 7 2 
1034 4 3 1 2 4 3 6 3 6 3 7 2 7 2 7 2 
1035 5 3 1 2 5 2 6 2 6 2 8 2 8 2 8 2 
1036 4 3 1 2 4 3 7 3 7 3 7 3 7 3 7 3 
1037 5 3 1 2 5 3 7 3 7 3 8 2 8 2 8 2 
1038 5 3 1 2 5 3 7 3 7 3 8 2 8 2 8 2 
1039 6 3 1 2 6 2 7 2 7 2 9 2 9 2 9 2 
1040 3 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 
1041 3 3 2 2 4 4 4 4 4 4 6 3 6 3 6 3 
1042 3 3 2 2 4 4 4 4 4 4 6 3 6 3 6 3 
1043 4 3 1 2 4 3 4 3 4 3 7 3 7 3 7 3 
1044 6 3 1 2 6 3 7 3 7 3 7 3 7 3 7 3 
1045 6 3 1 2 6 3 7 3 7 3 9 2 9 2 9 2 
1046 6 3 1 2 6 3 7 3 7 3 9 2 9 2 9 2 
1047 7 3 1 2 7 2 7 2 7 2 10 2 10 2 10 2 
1048 6 3 1 2 6 3 7 3 7 3 7 3 7 3 7 3 
1049 6 3 1 2 6 3 7 3 7 3 9 2 9 2 9 2 
1050 6 3 1 2 6 3 7 3 7 3 9 2 9 2 9 2 
1051 7 3 1 2 7 2 7 2 7 2 10 2 10 2 10 2 
1052 7 3 1 2 7 3 8 3 8 3 8 3 8 3 8 3 
1053 7 3 1 2 7 3 8 3 8 3 10 2 10 2 10 2 
1054 7 3 1 2 7 3 8 3 8 3 10 2 10 2 10 2 
1055 8 3 1 2 8 2 8 2 8 2 11 2 11 2 11 2 
1056 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
1057 3 3 2 2 3 4 3 4 3 4 6 3 6 3 6 3 
1058 3 3 2 2 3 4 3 4 3 4 6 3 6 3 6 3 
1059 4 3 1 2 4 3 4 3 4 3 7 3 7 3 7 3 
1060 3 3 2 2 3 4 6 3 6 3 6 3 6 3 6 3 
1061 4 3 1 2 4 3 6 3 6 3 7 2 7 2 7 2 
1062 4 3 1 2 4 3 6 3 6 3 7 2 7 2 7 2 
1063 5 3 1 2 5 2 6 2 6 2 8 2 8 2 8 2 
1064 3 3 2 2 3 4 6 3 6 3 6 3 6 3 6 3 
1065 4 3 1 2 4 3 6 3 6 3 7 2 7 2 7 2 
1066 4 3 1 2 4 3 6 3 6 3 7 2 7 2 7 2 
1067 5 3 1 2 5 2 6 2 6 2 8 2 8 2 8 2 
1068 4 3 1 2 4 3 7 3 7 3 7 3 7 3 7 3 
1069 5 3 1 2 5 3 7 3 7 3 8 2 8 2 8 2 
1070 5 3 1 2 5 3 7 3 7 3 8 2 8 2 8 2 
1071 6 3 1 2 6 2 7 2 7 2 9 2 9 2 9 2 
1072 3 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 
1073 3 3 2 2 4 4 4 4 4 4 6 3 6 3 6 3 
1074 3 3 2 2 4 4 4 4 4 4 6 3 6 3 6 3 
1075 4 3 1 2 4 3 4 3 4 3 7 3 7 3 7 3 
1076 6 3 1 2 6 3 7 3 7 3 7 3 7 3 7 3 
1077 6 3 1 2 6 3 7 3 7 3 9 2 9 2 9 2 
1078 6 3 1 2 6 3 7 3 7 3 9 2 9 2 9 2 
1079 7 3 1 2 7 2 7 2 7 2 10 2 10 2 10 2 
1080 6 3 1 2 6 3 7 3 7 3 7 3 7 3 7 3 
1081 6 3 1 2 6 3 7 3 7 3 9 2 9 2 9 2 
1082 6 3 1 2 6 3 7 3 7 3 9 2 9 2 9 2 
1083 7 3 1 2 7 2 7 2 7 2 10 2 10 2 10 2 
1084 7 3 1 2 7 3 8 3 8 3 8 3 8 3 8 3 
1085 7 3 1 2 7 3 8 3 8 3 10 2 10 2 10 2 
1086 7 3 1 2 7 3 8 3 8 3 10 2 10 2 10 2 
1087 8 3 1 2 8 2 8 2 8 2 11 2 11 2 11 2 
1088 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
1089 3 3 2 2 4 3 4 3 4 3 6 3 6 3 6 3 
1090 3 3 2 2 4 3 4 3 4 3 6 3 6 3 6 3 
1091 4 3 1 2 5 2 5 2 5 2 7 3 7 3 7 3 
1092 3 3 2 2 4 3 6 3 6 3 6 3 6 3 6 3 
1093 4 3 1 2 5 2 7 2 7 2 7 2 7 2 7 2 
1094 4 3 1 2 5 2 7 2 7 2 7 2 7 2 7 2 
1095 5 3 1 2 6 1 8 1 8 1 8 2 8 2 8 2 
1096 3 3 2 2 4 3 6 3 6 3 6 3 6 3 6 3 
1097 4 3 1 2 5 2 7 2 7 2 7 2 7 2 7 2 
1098 4 3 1 2 5 2 7 2 7 2 7 2 7 2 7 2 
1099 5 3 1 2 6 1 8 1 8 1 8 2 8 2 8 2 
1100 4 3 1 2 5 2 7 3 7 3 7 3 7 3 7 3 
1101 5 3 1 2 6 2 8 2 8 2 8 2 8 2 8 2 
1102 5 3 1 2 6 2 8 2 8 2 8 2 8 2 8 2 
1103 6 3 1 2 7 1 9 1 9 1 9 2 9 2 9 2 
1104 3 3 2 2 6 3 6 3 6 3 4 4 4 4 4 4 
1105 3 3 2 2 6 3 6 3 6 3 6 3 6 3 6 3 
1106 3 3 2 2 6 3 6 3 6 3 6 3 6 3 6 3 
1107 4 3 1 2 7 2 7 2 7 2 7 3 7 3 7 3 
1108 6 3 1 2 7 2 9 2 9 2 7 3 7 3 7 3 
1109 6 3 1 2 7 2 9 2 9 2 9 2 9 2 9 2 
1110 6 3 1 2 7 2 9 2 9 2 9 2 9 2 9 2 
1111 7 3 1 2 8 1 10 1 10 1 10 2 10 2 10 2 
1112 6 3 1 2 7 2 9 2 9 2 7 3 7 3 7 3 
1113 6 3 1 2 7 2 9 2 9 2 9 2 9 2 9 2 
1114 6 3 1 2 7 2 9 2 9 2 9 2 9 2 9 2 
1115 7 3 1 2 8 1 10 1 10 1 10 2 10 2 10 2 
1116 7 3 1 2 8 2 10 2 10 2 8 3 8 3 8 3 
1117 7 3 1 2 8 2 10 2 10 2 10 2 10 2 10 2 
1118 7 3 1 2 8 2 10 2 10 2 10 2 10 2 10 2 
1119 8 3 1 2 9 1 11 1 11 1 11 2 11 2 11 2 
1120 3 3 2 2 6 3 3 4 3 4 3 4 3 4 3 4 
1121 3 3 2 2 6 3 4 3 4 3 6 3 6 3 6 3 
1122 3 3 2 2 6 3 4 3 4 3 6 3 6 3 6 3 
1123 4 3 1 2 6 2 5 2 5 2 7 3 7 3 7 3 
1124 3 3 2 2 6 3 6 3 6 3 6 3 6 3 6 3 
1125 4 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
1126 4 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
1127 5 3 1 2 8 1 8 1 8 1 8 2 8 2 8 2 
1128 3 3 2 2 6 3 6 3 6 3 6 3 6 3 6 3 
1129 4 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
1130 4 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
1131 5 3 1 2 8 1 8 1 8 1 8 2 8 2 8 2 
1132 4 3 1 2 7 2 7 3 7 3 7 3 7 3 7 3 
1133 5 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
1134 5 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
1135 6 3 1 2 9 1 9 1 9 1 9 2 9 2 9 2 
1136 3 3 2 2 6 3 6 3 6 3 4 4 4 4 4 4 
1137 3 3 2 2 6 3 6 3 6 3 6 3 6 3 6 3 
1138 3 3 2 2 6 3 6 3 6 3 6 3 6 3 6 3 
1139 4 3 1 2 7 2 7 2 7 2 7 3 7 3 7 3 
1140 6 3 1 2 9 2 9 2 9 2 7 3 7 3 7 3 
1141 6 3 1 2 9 2 9 2 9 2 9 2 9 2 9 2 
1142 6 3 1 2 9 2 9 2 9 2 9 2 9 2 9 2 
1143 7 3 1 2 10 1 10 1 10 1 10 2 10 2 10 2 
1144 6 3 1 2 9 2 9 2 9 2 7 3 7 3 7 3 
1145 6 3 1 2 9 2 9 2 9 2 9 2 9 2 9 2 
1146 6 3 1 2 9 2 9 2 9 2 9 2 9 2 9 2 
1147 7 3 1 2 10 1 10 1 10 1 10 2 10 2 10 2 
1148 7 3 1 2 10 2 10 2 10 2 8 3 8 3 8 3 
1149 7 3 1 2 10 2 10 2 10 2 10 2 10 2 10 2 
1150 7 3 1 2 10 2 10 2 10 2 10 2 10 2 10 2 
1151 8 3 1 2 11 1 11 1 11 1 11 2 11 2 11 2 
1152 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
1153 3 3 2 2 4 3 4 3 4 3 6 3 6 3 6 3 
1154 3 3 2 2 4 3 4 3 4 3 6 3 6 3 6 3 
1155 4 3 1 2 5 2 5 2 5 2 7 3 7 3 7 3 
1156 3 3 2 2 4 3 6 3 6 3 6 3 6 3 6 3 
1157 4 3 1 2 5 2 7 2 7 2 7 2 7 2 7 2 
1158 4 3 1 2 5 2 7 2 7 2 7 2 7 2 7 2 
1159 5 3 1 2 6 1 8 1 8 1 8 2 8 2 8 2 
1160 3 3 2 2 4 3 6 3 6 3 6 3 6 3 6 3 
1161 4 3 1 2 5 2 7 2 7 2 7 2 7 2 7 2 
1162 4 3 1 2 5 2 7 2 7 2 7 2 7 2 7 2 
1163 5 3 1 2 6 1 8 1 8 1 8 2 8 2 8 2 
1164 4 3 1 2 5 2 7 3 7 3 7 3 7 3 7 3 
1165 5 3 1 2 6 2 8 2 8 2 8 2 8 2 8 2 
1166 5 3 1 2 6 2 8 2 8 2 8 2 8 2 8 2 
1167 6 3 1 2 7 1 9 1 9 1 9 2 9 2 9 2 
1168 3 3 2 2 6 3 6 3 6 3 4 4 4 4 4 4 
1169 3 3 2 2 6 3 6 3 6 3 6 3 6 3 6 3 
1170 3 3 2 2 6 3 6 3 6 3 6 3 6 3 6 3 
1171 4 3 1 2 7 2 7 2 7 2 7 3 7 3 7 3 
1172 6 3 1 2 7 2 9 2 9 2 7 3 7 3 7 3 
1173 6 3 1 2 7 2 9 2 9 2 9 2 9 2 9 2 
1174 6 3 1 2 7 2 9 2 9 2 9 2 9 2 9 2 
1175 7 3 1 2 8 1 10 1 10 1 10 2 10 2 10 2 
1176 6 3 1 2 7 2 9 2 9 2 7 3 7 3 7 3 
1177 6 3 1 2 7 2 9 2 9 2 9 2 9 2 9 2 
1178 6 3 1 2 7 2 9 2 9 2 9 2 9 2 9 2 
