Prog s-T1 s-T2 a-T1 a-T2 s-m1 a-m1 s-m2 a-m2 s-m3 a-m3 s-m4 a-m4 s-m5 a-m5 s-m6 a-m6
283 7 3 1 2 8 1 8 1 8 1 8 2 8 1 8 1 
284 7 3 1 2 8 2 8 2 8 2 7 3 8 2 8 2 
285 7 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
286 7 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
287 8 3 1 2 9 1 9 1 9 1 9 2 9 1 9 1 
288 3 3 2 2 6 3 6 3 3 4 3 4 3 4 6 3 
289 3 3 2 2 6 3 6 3 4 3 4 3 4 3 6 3 
290 3 3 2 2 6 3 6 3 4 3 4 3 4 3 6 3 
291 4 3 1 2 6 2 6 2 5 2 5 3 5 2 6 2 
292 3 3 2 2 6 3 6 3 4 3 4 3 4 3 6 3 
293 4 3 1 2 7 2 7 2 5 2 5 2 5 2 7 2 
294 4 3 1 2 7 2 7 2 5 2 5 2 5 2 7 2 
295 5 3 1 2 8 1 8 1 6 1 6 2 6 1 8 1 
296 3 3 2 2 6 3 6 3 4 3 4 3 4 3 6 3 
297 4 3 1 2 7 2 7 2 5 2 5 2 5 2 7 2 
298 4 3 1 2 7 2 7 2 5 2 5 2 5 2 7 2 
299 5 3 1 2 8 1 8 1 6 1 6 2 6 1 8 1 
300 4 3 1 2 7 2 7 2 5 3 5 3 5 3 7 2 
301 5 3 1 2 8 2 8 2 6 2 6 2 6 2 8 2 
302 5 3 1 2 8 2 8 2 6 2 6 2 6 2 8 2 
303 6 3 1 2 9 1 9 1 7 1 7 2 7 1 9 1 
304 3 3 2 2 6 3 6 3 6 3 3 4 6 3 6 3 
305 3 3 2 2 6 3 6 3 6 3 4 3 6 3 6 3 
306 3 3 2 2 6 3 6 3 6 3 4 3 6 3 6 3 
307 4 3 1 2 7 2 7 2 7 2 5 3 7 2 7 2 
308 6 3 1 2 9 2 9 2 7 2 6 3 7 2 9 2 
309 6 3 1 2 9 2 9 2 7 2 7 2 7 2 9 2 
